"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 00:00","2022","06","01","00:00","16.7","","6.2","","50","","0.0","","7","","11","","","","101.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 01:00","2022","06","01","01:00","16.5","","4.5","","45","","0.0","","5","","13","","","","101.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 02:00","2022","06","01","02:00","16.0","","4.5","","46","","0.0","","4","","15","","","","101.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 03:00","2022","06","01","03:00","15.3","","4.5","","49","","0.0","","4","","19","","","","101.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 04:00","2022","06","01","04:00","14.9","","4.5","","50","","0.0","","4","","22","","","","101.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 05:00","2022","06","01","05:00","14.3","","4.5","","51","","0.0","","5","","21","","","","101.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 06:00","2022","06","01","06:00","14.0","","4.7","","53","","0.0","","4","","23","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 07:00","2022","06","01","07:00","14.0","","5.1","","55","","0.0","","5","","15","","","","101.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 08:00","2022","06","01","08:00","14.1","","5.8","","57","","0.0","","4","","14","","","","101.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 09:00","2022","06","01","09:00","14.1","","6.4","","60","","0.0","","4","","17","","","","101.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 10:00","2022","06","01","10:00","15.4","","7.0","","57","","0.0","","4","","19","","","","100.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 11:00","2022","06","01","11:00","16.3","","7.9","","57","","0.0","","4","","15","","","","100.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 12:00","2022","06","01","12:00","16.8","","9.8","","64","","0.0","","8","","13","","","","100.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 13:00","2022","06","01","13:00","17.0","","12.3","","74","","0.0","","8","","13","","","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 14:00","2022","06","01","14:00","17.3","","12.2","","72","","0.0","","9","","9","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 15:00","2022","06","01","15:00","17.2","","12.7","","75","","0.0","","8","","14","","","","100.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 16:00","2022","06","01","16:00","17.1","","12.7","","76","","0.0","","14","","12","","","","100.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 17:00","2022","06","01","17:00","17.0","","12.9","","77","","0.0","","9","","9","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 18:00","2022","06","01","18:00","16.8","","12.9","","78","","0.0","","16","","14","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 19:00","2022","06","01","19:00","16.6","","13.2","","80","","0.0","","12","","10","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 20:00","2022","06","01","20:00","15.9","","13.1","","84","","0.0","","9","","9","","","","100.36","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 21:00","2022","06","01","21:00","15.3","","13.2","","88","","1.1","","0","","1","","","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 22:00","2022","06","01","22:00","14.8","","13.7","","93","","0.0","","1","","6","","","","100.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-01 23:00","2022","06","01","23:00","13.6","","13.0","","96","","0.2","","2","","18","","","","100.37","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 00:00","2022","06","02","00:00","13.5","","12.8","","95","","0.0","","3","","19","","","","100.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 01:00","2022","06","02","01:00","13.8","","12.6","","92","","0.2","","4","","19","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 02:00","2022","06","02","02:00","13.5","","11.3","","86","","0.0","","4","","16","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 03:00","2022","06","02","03:00","12.6","","10.4","","86","","0.0","","4","","16","","","","100.35","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 04:00","2022","06","02","04:00","11.3","","10.3","","94","","0.0","","1","","9","","","","100.34","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 05:00","2022","06","02","05:00","11.6","","10.2","","92","","0.0","","2","","14","","","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 06:00","2022","06","02","06:00","12.1","","9.9","","86","","0.0","","2","","16","","","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 07:00","2022","06","02","07:00","13.7","","9.6","","76","","0.0","","3","","16","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 08:00","2022","06","02","08:00","15.5","","10.6","","72","","0.0","","4","","15","","","","100.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 09:00","2022","06","02","09:00","15.9","","9.8","","67","","0.0","","4","","18","","","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 10:00","2022","06","02","10:00","17.6","","10.1","","61","","0.0","","4","","14","","","","100.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 11:00","2022","06","02","11:00","18.5","","10.8","","61","","0.0","","4","","12","","","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 12:00","2022","06","02","12:00","19.2","","10.8","","58","","0.0","","3","","12","","","","100.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 13:00","2022","06","02","13:00","20.2","","11.5","","57","","0.0","","6","","7","","","","100.35","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 14:00","2022","06","02","14:00","20.7","","11.1","","54","","0.0","","15","","5","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 15:00","2022","06","02","15:00","21.7","","13.6","","60","","0.0","","16","","11","","","","100.30","","25","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 16:00","2022","06","02","16:00","20.9","","12.0","","57","","0.0","","17","","8","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 17:00","2022","06","02","17:00","20.9","","12.3","","58","","0.0","","14","","7","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 18:00","2022","06","02","18:00","20.5","","12.2","","59","","0.0","","15","","5","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 19:00","2022","06","02","19:00","20.5","","12.4","","59","","0.0","","17","","10","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 20:00","2022","06","02","20:00","19.7","","12.6","","63","","0.0","","18","","5","","","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 21:00","2022","06","02","21:00","19.3","","13.5","","69","","0.0","","19","","10","","","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 22:00","2022","06","02","22:00","18.4","","14.0","","75","","0.0","","24","","5","","","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-06-02 23:00","2022","06","02","23:00","18.1","","14.3","","79","","0.0","","21","","7","","","","100.26","","","","","","NA"
